species_id,species_name,rank,neighbor_id,neighbor_name,distance
0296,Fraxinus ornus L.,3,0236,Dipterocarpus C.F.Gaertn.,0.3144415752775994
0296,Fraxinus ornus L.,4,0295,Fraxinus nigra Marshall,0.33021405735250675
0296,Fraxinus ornus L.,5,0238,Dipterocarpus kerrii King,0.34868095108607067
0297,Fraxinus mandshurica Rupr.,1,0293,Fraxinus americana L.,0.12293336018153533
0297,Fraxinus mandshurica Rupr.,2,0296,Fraxinus ornus L.,0.16810558843621087
0297,Fraxinus mandshurica Rupr.,3,0236,Dipterocarpus C.F.Gaertn.,0.24870018906685804
0297,Fraxinus mandshurica Rupr.,4,0238,Dipterocarpus kerrii King,0.2596559092573119
0297,Fraxinus mandshurica Rupr.,5,0295,Fraxinus nigra Marshall,0.26532459154884835
0301,Gilbertiodendron dewevrei (De Wild.) J.Léonard,1,0092,Brachystegia cynometroides Harms,0.12668117322364278
0301,Gilbertiodendron dewevrei (De Wild.) J.Léonard,2,0478,Peltogyne Vogel,0.1397964453954694
